dbn,school_name,internal_school_id,num_test_takers,reading_score,math_score,writing_score,pct_students_tested,academic_tier_rating
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,458204,64.0,399.0,396.0,391.0,,3.0
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,553153,62.0,362.0,378.0,363.0,,4.0
07X547,NEW EXPLORERS HIGH SCHOOL,113401,28.0,367.0,356.0,361.0,92.0,
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,875037,44.0,387.0,411.0,383.0,,2.0
07X551,BRONX ACADEMY OF LETTERS,412580,51.0,413.0,381.0,407.0,92.0,3.0
07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,327975,76.0,394.0,400.0,364.0,78.0,1.0
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,723932,47.0,398.0,416.0,370.0,,1.0
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,599605,114.0,363.0,368.0,364.0,85.0,
08X282,WOMEN'S ACADEMY OF EXCELLENCE,620873,44.0,407.0,386.0,378.0,,2.0
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY,908269,52.0,384.0,385.0,389.0,78.0,2.0
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY,939020,41.0,416.0,390.0,394.0,78.0,
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES,159654,67.0,337.0,361.0,340.0,78.0,2.0
08X312,MILLENNIUM ART ACADEMY,635239,67.0,387.0,402.0,375.0,78.0,1.0
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,953485,39.0,363.0,371.0,350.0,78.0,1.0
08X377,BRONX COMMUNITY HIGH SCHOOL,146673,9.0,367.0,369.0,376.0,,
08X405,HERBERT H. LEHMAN HIGH SCHOOL,534496,415.0,412.0,436.0,393.0,92.0,2.0
08X408,HERBERT H. LEHMAN YABC,399276,6.0,402.0,373.0,413.0,85.0,2.0
08X452,BRONX GUILD,915453,39.0,369.0,371.0,365.0,,1.0
08X519,"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE",719359,68.0,373.0,370.0,356.0,,3.0
08X530,BANANA KELLY HIGH SCHOOL,189134,54.0,373.0,381.0,377.0,92.0,3.0
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,504978,16.0,366.0,400.0,368.0,78.0,4.0
08X560,HIGH SCHOOL X560 s BRONX ACADEMY HIGH SCHOOL,906309,9.0,404.0,368.0,399.0,78.0,2.0
08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,411110,78.0,377.0,359.0,376.0,78.0,
09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,958742,39.0,324.0,376.0,349.0,92.0,
09X231,EAGLE ACADEMY FOR YOUNG MEN,831788,78.0,373.0,387.0,374.0,78.0,4.0
09X239,"URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE",746616,33.0,372.0,355.0,357.0,85.0,4.0
09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",430330,80.0,411.0,464.0,415.0,85.0,2.0
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,183756,50.0,393.0,394.0,382.0,78.0,4.0
09X252,MOTT HALL BRONX HIGH SCHOOL,183078,67.0,369.0,367.0,356.0,85.0,4.0
